"id","boundary_id","x","y"
8106,1,1035,1963
37573,1,1141,1669
172266,1,994,167
95846,2,2390,1043
58128,1,992,1360
144629,2,2265,502
194716,1,1276,66
57519,1,890,1362
11876,1,794,1956
149043,1,23,410
90166,2,2402,1163
137652,2,2285,636
126813,1,629,732
31469,2,2457,1763
193660,1,1291,73
60483,2,2404,1352
123366,1,361,752
158500,1,67,217
143631,1,49,522
120372,1,354,771
137249,1,110,643
160663,1,822,208
161754,1,616,204
167029,1,932,190
47039,1,1291,1509
59389,1,878,1355
22204,1,787,1865
159243,1,687,213
64788,1,1021,1332
5392,1,1034,1968
138722,1,76,617
67712,1,801,1314
196609,2,2258,44
198980,1,1409,17
181647,1,392,121
87591,1,1511,1196
16805,1,1206,1944
198504,1,1365,22
175960,1,1029,148
198026,1,1347,27
17842,2,2475,1928
107641,1,165,853
96607,2,2386,1028
92932,2,2399,1106
30617,1,1006,1775
11021,1,1112,1958
197102,1,1372,38
172074,1,983,168
162989,1,767,201
148691,1,19,417
108225,1,105,849
30987,2,2453,1770
119586,2,2344,777
24850,1,859,1844
26139,1,912,1832
96090,2,2387,1038
13590,1,1257,1953
128770,1,125,721
108873,1,75,845
167256,1,858,189
117475,1,84,790
125473,1,699,740
146442,1,17,465
10322,1,947,1959
192697,1,298,76
59809,1,1006,1354
144159,2,2274,512
6579,1,748,1965
151589,1,57,360
186213,1,157,98
69545,1,1516,1303
182215,2,2268,119
32329,1,1028,1750
161050,1,597,206
44427,1,1274,1554
160676,1,835,208
7917,1,785,1963
72561,2,2414,1286
129829,1,574,717
103302,2,2394,910
85934,1,1562,1205
183174,1,1189,114
28870,1,980,1800
55810,1,882,1372
33082,1,1062,1740
137030,2,2283,647
109690,2,2370,841
50610,1,1357,1449
55587,1,1458,1374
54656,2,2431,1388
192569,1,170,76
2213,1,879,1977
87719,1,1472,1195
38935,2,2452,1647
59949,1,848,1353
162793,1,571,201
191127,1,206,81
80700,1,1388,1236
138487,1,68,621
196037,1,1340,51
100431,2,2399,967
111269,1,238,831
115837,1,257,801
18980,2,2474,1907
182214,2,2267,119
52959,2,2412,1412
160832,1,699,207
64923,2,2409,1332
91478,1,898,1137
43410,1,1230,1571
14331,1,1156,1951
99312,1,857,987
149818,1,27,395
66488,1,811,1322
3210,1,1329,1974
79630,1,843,1243
67585,1,1085,1315
108322,1,785,849
37145,1,1121,1676
63030,1,1495,1342
46526,2,2422,1518
160042,1,774,210
77691,1,1311,1256
53874,1,1439,1399
144736,2,2275,500
165874,1,603,193
43865,2,2436,1564
118833,2,2335,782
98725,1,833,995
114186,1,99,812
88592,1,862,1189
145282,2,2266,489
49792,2,2439,1463
47772,1,1326,1497
159946,1,678,210
24087,1,828,1850
157154,2,2270,244
107747,1,113,852
88775,1,1482,1188
91719,1,909,1132
150129,1,33,389
198093,2,2259,27
72157,1,1527,1288
36994,2,2439,1679
13495,1,1162,1953
106528,1,792,861
143746,2,2266,520
144961,1,35,495
122120,1,707,760
158175,2,2269,222
4554,1,997,1970
